seq1	P35575.2	70.028	357	106	1	1	357	1	356	0.0	536
seq1	Q19KA1.1	69.188	357	109	1	1	357	1	356	0.0	535
seq1	O19133.1	68.627	357	111	1	1	357	1	356	0.0	530
seq1	Q29RU6.1	69.553	358	108	1	1	358	1	357	0.0	530
seq1	P35576.2	68.067	357	113	1	1	357	1	356	2.20e-180	506
seq1	P43428.1	68.347	357	112	1	1	357	1	356	2.55e-171	483
seq1	Q9Z186.1	55.367	354	157	1	5	357	1	354	1.12e-144	416
seq1	Q9NQR9.1	56.215	354	154	1	5	357	1	354	1.30e-142	410
seq1	O42153.1	54.391	353	154	4	5	355	1	348	1.86e-122	359
seq1	O42154.1	55.396	278	117	4	80	355	1	273	6.61e-94	284
seq2	Q19KA1.1	70.308	357	105	1	1	357	1	356	0.0	535
seq2	P35575.2	70.588	357	104	1	1	357	1	356	0.0	532
seq2	O19133.1	69.468	357	108	1	1	357	1	356	0.0	530
seq2	Q29RU6.1	70.112	358	106	1	1	358	1	357	0.0	529
seq2	P35576.2	68.908	357	110	1	1	357	1	356	1.10e-179	504
seq2	P43428.1	68.908	357	110	1	1	357	1	356	3.54e-171	483
seq2	Q9Z186.1	51.695	354	170	1	5	357	1	354	2.90e-137	397
seq2	Q9NQR9.1	54.366	355	159	2	5	357	1	354	1.53e-135	393
seq2	O42153.1	54.674	353	153	4	5	355	1	348	1.82e-123	362
seq2	O42154.1	55.036	278	118	4	80	355	1	273	1.89e-94	285
seq3	Q19KA1.1	69.748	357	107	1	1	357	1	356	0.0	540
seq3	P35575.2	70.028	357	106	1	1	357	1	356	0.0	536
seq3	Q29RU6.1	70.112	358	106	1	1	358	1	357	0.0	536
seq3	O19133.1	68.908	357	110	1	1	357	1	356	0.0	535
seq3	P35576.2	67.507	357	115	1	1	357	1	356	1.87e-180	506
seq3	P43428.1	67.787	357	114	1	1	357	1	356	6.18e-173	488
seq3	Q9NQR9.1	54.648	355	158	2	5	357	1	354	7.91e-139	401
seq3	Q9Z186.1	51.695	354	170	1	5	357	1	354	8.92e-139	401
seq3	O42153.1	54.674	353	153	4	5	355	1	348	1.08e-125	367
seq3	O42154.1	55.036	278	118	4	80	355	1	273	1.97e-95	288
seq4	Q19KA1.1	69.274	358	109	1	1	358	1	357	0.0	538
seq4	P35575.2	69.832	358	107	1	1	358	1	357	0.0	535
seq4	Q29RU6.1	70.112	358	106	1	1	358	1	357	0.0	535
seq4	O19133.1	68.715	358	111	1	1	358	1	357	0.0	532
seq4	P35576.2	67.598	358	115	1	1	358	1	357	7.75e-180	505
seq4	P43428.1	67.598	358	115	1	1	358	1	357	4.04e-171	483
seq4	Q9Z186.1	54.958	353	158	1	5	356	1	353	1.35e-143	413
seq4	Q9NQR9.1	55.085	354	158	1	5	357	1	354	1.26e-139	403
seq4	O42153.1	54.674	353	153	4	5	355	1	348	3.87e-123	361
seq4	O42154.1	55.396	278	117	4	80	355	1	273	5.20e-94	284
seq5	Q19KA1.1	63.686	369	121	4	1	369	1	356	4.95e-170	481
seq5	P35575.2	64.499	369	118	4	1	369	1	356	1.32e-169	479
seq5	Q29RU6.1	64.324	370	119	4	1	370	1	357	6.99e-169	478
seq5	O19133.1	62.602	369	125	4	1	369	1	356	2.85e-167	474
seq5	P35576.2	61.789	369	128	4	1	369	1	356	2.57e-156	446
seq5	P43428.1	62.060	369	127	4	1	369	1	356	1.31e-148	426
seq5	Q9Z186.1	47.568	370	173	5	5	369	1	354	1.67e-116	345
seq5	Q9NQR9.1	48.378	370	170	5	5	369	1	354	6.72e-114	338
seq5	O42153.1	50.696	359	158	7	5	361	1	342	1.25e-103	312
seq5	O42154.1	48.966	290	129	7	80	367	1	273	1.15e-73	233
seq6	P35575.2	71.229	358	102	1	1	358	1	357	0.0	537
seq6	Q19KA1.1	70.112	358	106	1	1	358	1	357	0.0	533
seq6	Q29RU6.1	71.229	358	102	1	1	358	1	357	0.0	532
seq6	O19133.1	69.553	358	108	1	1	358	1	357	0.0	529
